Numero,Nome,Tipos
001,Bulbasaur,"['Grass', 'Poison']"
002,Ivysaur,"['Grass', 'Poison']"
003,Venusaur,"['Grass', 'Poison']"
004,Charmander,['Fire']
005,Charmeleon,['Fire']
006,Charizard,"['Flying', 'Fire']"
007,Squirtle,['Water']
008,Wartortle,['Water']
009,Blastoise,['Water']
010,Caterpie,['Bug']
011,Metapod,['Bug']
012,Butterfree,"['Flying', 'Bug']"
013,Weedle,"['Poison', 'Bug']"
014,Kakuna,"['Poison', 'Bug']"
015,Beedrill,"['Poison', 'Bug']"
016,Pidgey,"['Normal', 'Flying']"
017,Pidgeotto,"['Normal', 'Flying']"
018,Pidgeot,"['Normal', 'Flying']"
019,Rattata,['Normal']
020,Raticate,['Normal']
021,Spearow,"['Normal', 'Flying']"
022,Fearow,"['Normal', 'Flying']"
023,Ekans,['Poison']
024,Arbok,['Poison']
025,Pikachu,['Electric']
026,Raichu,['Electric']
027,Sandshrew,['Ground']
028,Sandslash,['Ground']
029,Nidoran♀,['Poison']
030,Nidorina,['Poison']
031,Nidoqueen,"['Poison', 'Ground']"
032,Nidoran♂,['Poison']
033,Nidorino,['Poison']
034,Nidoking,"['Poison', 'Ground']"
035,Clefairy,['Fairy']
036,Clefable,['Fairy']
037,Vulpix,['Fire']
038,Ninetales,['Fire']
039,Jigglypuff,"['Normal', 'Fairy']"
040,Wigglytuff,"['Normal', 'Fairy']"
041,Zubat,"['Poison', 'Flying']"
042,Golbat,"['Poison', 'Flying']"
043,Oddish,"['Grass', 'Poison']"
044,Gloom,"['Grass', 'Poison']"
045,Vileplume,"['Grass', 'Poison']"
046,Paras,"['Grass', 'Bug']"
047,Parasect,"['Grass', 'Bug']"
048,Venonat,"['Poison', 'Bug']"
049,Venomoth,"['Poison', 'Bug']"
050,Diglett,['Ground']
051,Dugtrio,['Ground']
052,Meowth,['Normal']
053,Persian,['Normal']
054,Psyduck,['Water']
055,Golduck,['Water']
056,Mankey,['Fighting']
057,Primeape,['Fighting']
058,Growlithe,['Fire']
059,Arcanine,['Fire']
060,Poliwag,['Water']
061,Poliwhirl,['Water']
062,Poliwrath,"['Water', 'Fighting']"
063,Abra,['Psychic']
064,Kadabra,['Psychic']
065,Alakazam,['Psychic']
066,Machop,['Fighting']
067,Machoke,['Fighting']
068,Machamp,['Fighting']
069,Bellsprout,"['Grass', 'Poison']"
070,Weepinbell,"['Grass', 'Poison']"
071,Victreebel,"['Grass', 'Poison']"
072,Tentacool,"['Water', 'Poison']"
073,Tentacruel,"['Water', 'Poison']"
074,Geodude,"['Ground', 'Rock']"
075,Graveler,"['Ground', 'Rock']"
076,Golem,"['Ground', 'Rock']"
077,Ponyta,['Fire']
078,Rapidash,['Fire']
079,Slowpoke,"['Water', 'Psychic']"
080,Slowbro,"['Water', 'Psychic']"
081,Magnemite,"['Steel', 'Electric']"
082,Magneton,"['Steel', 'Electric']"
083,Farfetch'd,"['Normal', 'Flying']"
084,Doduo,"['Normal', 'Flying']"
085,Dodrio,"['Normal', 'Flying']"
086,Seel,['Water']
087,Dewgong,"['Water', 'Ice']"
088,Grimer,['Poison']
089,Muk,['Poison']
090,Shellder,['Water']
091,Cloyster,"['Water', 'Ice']"
092,Gastly,"['Poison', 'Ghost']"
093,Haunter,"['Poison', 'Ghost']"
094,Gengar,"['Poison', 'Ghost']"
